iter	Passed	Remaining
0	3	3088
1	5	2809
2	8	2677
3	10	2572
4	12	2580
5	15	2547
6	17	2517
7	20	2497
8	22	2481
9	24	2464
10	27	2454
11	29	2458
12	33	2554
13	37	2622
14	41	2742
15	44	2721
16	47	2752
17	52	2840
18	55	2851
19	59	2914
20	63	2975
21	67	2985
22	72	3075
23	76	3112
24	79	3119
25	82	3099
26	85	3074
27	89	3107
28	93	3125
29	96	3129
30	100	3150
31	105	3200
32	110	3231
33	112	3200
34	115	3172
35	117	3145
36	119	3121
37	124	3147
38	127	3145
39	130	3129
40	133	3130
41	137	3135
42	142	3175
43	146	3176
44	151	3204
45	155	3231
46	158	3213
47	162	3229
48	166	3237
49	174	3309
50	177	3297
51	181	3305
52	185	3322
53	193	3392
54	199	3423
55	206	3482
56	212	3517
57	217	3535
58	220	3509
59	225	3531
60	228	3517
61	233	3537
62	237	3533
63	241	3528
64	243	3504
65	245	3480
66	248	3455
67	250	3431
68	252	3407
69	254	3384
70	256	3360
71	259	3338
72	261	3316
73	263	3296
74	265	3275
75	267	3256
76	270	3236
77	272	3224
78	275	3206
79	277	3187
80	279	3169
81	281	3153
82	283	3135
83	286	3118
84	288	3102
85	290	3086
86	292	3070
87	294	3054
88	297	3043
89	299	3029
90	301	3015
91	304	3000
92	306	2985
93	308	2971
94	310	2957
95	312	2943
96	314	2930
97	317	2918
98	319	2908
99	321	2896
100	324	2883
101	326	2872
102	328	2860
103	330	2848
104	332	2836
105	334	2825
106	337	2813
107	339	2802
108	341	2791
109	343	2780
110	345	2769
111	347	2758
112	350	2748
113	352	2738
114	354	2728
115	356	2718
116	358	2708
117	361	2698
118	363	2689
119	365	2680
120	367	2671
121	369	2662
122	372	2658
123	374	2644
124	376	2632
125	378	2624
126	380	2616
127	382	2607
128	384	2599
129	387	2591
130	389	2583
131	391	2575
132	393	2567
133	395	2558
134	398	2551
135	400	2543
136	402	2538
137	406	2538
138	408	2532
139	412	2536
140	415	2531
141	417	2525
142	420	2518
143	422	2510
144	424	2505
145	427	2498
146	429	2490
147	431	2483
148	433	2476
149	435	2469
150	437	2462
151	440	2455
152	442	2448
153	444	2441
154	446	2435
155	448	2428
156	451	2421
157	453	2414
158	455	2408
159	457	2401
160	459	2395
161	461	2389
162	464	2383
163	466	2377
164	468	2371
165	470	2365
166	472	2359
167	475	2353
168	477	2347
169	479	2341
170	481	2335
171	483	2329
172	486	2323
173	488	2317
174	490	2312
175	492	2306
176	494	2300
177	497	2296
178	499	2292
179	502	2287
180	504	2282
181	506	2276
182	508	2271
183	511	2268
184	514	2264
185	516	2261
186	518	2256
187	521	2251
188	523	2245
189	525	2240
190	527	2235
191	529	2229
192	532	2224
193	534	2219
194	536	2214
195	538	2208
196	540	2203
197	542	2199
198	545	2193
199	547	2188
200	549	2184
201	551	2179
202	554	2175
203	556	2171
204	558	2166
205	560	2159
206	562	2154
207	564	2150
208	566	2145
209	569	2140
210	571	2136
211	573	2131
212	575	2126
213	577	2122
214	579	2117
215	582	2112
216	584	2108
217	586	2103
218	588	2099
219	590	2094
220	593	2090
221	596	2088
222	598	2085
223	600	2081
224	603	2077
225	605	2072
226	607	2068
227	609	2064
228	611	2059
229	613	2055
230	616	2051
231	618	2046
232	620	2042
233	622	2038
234	624	2033
235	626	2029
236	629	2025
237	631	2020
238	633	2016
239	635	2012
240	637	2008
241	639	2004
242	642	1999
243	644	1995
244	646	1991
245	648	1987
246	650	1983
247	652	1979
248	654	1975
249	657	1971
250	659	1967
251	661	1963
252	663	1959
253	665	1955
254	668	1951
255	670	1949
256	672	1945
257	675	1943
258	678	1940
259	681	1938
260	683	1934
261	684	1929
262	687	1926
263	690	1924
264	693	1923
265	696	1921
266	699	1920
267	702	1918
268	706	1918
269	708	1915
270	710	1911
271	713	1910
272	716	1906
273	718	1903
274	720	1899
275	722	1895
276	724	1891
277	726	1887
278	729	1884
279	731	1880
280	733	1876
281	735	1873
282	737	1869
283	740	1865
284	742	1862
285	744	1858
286	746	1855
287	748	1851
288	751	1848
289	753	1844
290	755	1840
